NDB_NO,Description,Weight(g),Measure,"Vitamin K (phylloquinone)"(µg)Per Measure,
"""09340""","Pears, asian, raw",122.0,"1.0 fruit 2-1/4"" high x 2-1/2"" dia",5.5,,
"""09257""","Pears, canned, heavy syrup pack, solids and liquids",266.0,"1.0 cup",0.8,,
"""09374""","Pears, canned, heavy syrup, drained",201.0,"1.0 cup",0.6,,
"""09254""","Pears, canned, juice pack, solids and liquids",248.0,"1.0 cup, halves",0.7,,
"""09256""","Pears, canned, light syrup pack, solids and liquids",251.0,"1.0 cup, halves",0.8,,
"""09253""","Pears, canned, water pack, solids and liquids",244.0,"1.0 cup, halves",0.7,,
"""09260""","Pears, dried, sulfured, stewed, without added sugar",255.0,"1.0 cup, halves",25.2,,
"""09259""","Pears, dried, sulfured, uncooked",180.0,"1.0 cup, halves",36.7,,
"""09252""","Pears, raw",140.0,"1.0 cup, slices",6.2,,
"""09412""","Pears, raw, bartlett",140.0,"1.0 cup, sliced",5.3,,
"""09414""","Pears, raw, bosc",140.0,"1.0 cup, sliced",7.3,,
"""09415""","Pears, raw, green anjou",140.0,"1.0 cup, sliced",6.0,,
"""09413""","Pears, raw, red anjou",126.0,"1.0 small",6.2,,
"""11816""","Peas and carrots, canned, no salt added, solids and liquids",255.0,"1.0 cup",33.4,,
"""11817""","Peas and carrots, frozen, cooked, boiled, drained, with salt",80.0,"0.5 cup",15.0,,
"""11323""","Peas and carrots, frozen, cooked, boiled, drained, without salt",278.0,"1.0 package (10 oz) yields",52.3,,
"""11818""","Peas and onions, frozen, cooked, boiled, drained, with salt",180.0,"1.0 cup",21.8,,
"""11327""","Peas and onions, frozen, cooked, boiled, drained, without salt",180.0,"1.0 cup",21.8,,
"""11301""","Peas, edible-podded, boiled, drained, without salt",160.0,"1.0 cup",40.0,,
"""11809""","Peas, edible-podded, cooked, boiled, drained, with salt",160.0,"1.0 cup",40.0,,
"""11810""","Peas, edible-podded, frozen, cooked, boiled, drained, with salt",160.0,"1.0 cup",48.3,,
"""11303""","Peas, edible-podded, frozen, cooked, boiled, drained, without salt",160.0,"1.0 cup",48.3,,
"""11300""","Peas, edible-podded, raw",98.0,"1.0 cup, chopped",24.5,,
"""11308""","Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",175.0,"1.0 cup",64.4,,
"""11813""","Peas, green, canned, no salt added, drained solids",85.0,"0.5 cup",18.2,,
"""11812""","Peas, green, canned, no salt added, solids and liquids",124.0,"0.5 cup",20.5,,
"""11306""","Peas, green, canned, regular pack, solids and liquids",124.0,"0.5 cup",25.7,,
"""11811""","Peas, green, cooked, boiled, drained, with salt",160.0,"1.0 cup",41.4,,
"""11305""","Peas, green, cooked, boiled, drained, without salt",160.0,"1.0 cup",41.4,,
"""11814""","Peas, green, frozen, cooked, boiled, drained, with salt",80.0,"0.5 cup",19.2,,
"""11313""","Peas, green, frozen, cooked, boiled, drained, without salt",80.0,"0.5 cup",19.2,,
"""11312""","Peas, green, frozen, unprepared",134.0,"1.0 cup",37.4,,
"""11304""","Peas, green, raw",145.0,"1.0 cup",36.0,,
"""16085""","Peas, green, split, mature seeds, raw",197.0,"1.0 cup",28.6,,
"""16386""","Peas, split, mature seeds, cooked, boiled, with salt",196.0,"1.0 cup",9.8,,
"""16086""","Peas, split, mature seeds, cooked, boiled, without salt",196.0,"1.0 cup",9.8,,
"""11976""","Pepper, banana, raw",124.0,"1.0 cup",11.8,,
"""07056""","Peppered loaf, pork, beef",100.0,"3.52 slices",1.6,,
"""07057""","Pepperoni, pork, beef",2.0,"1.0 slice round",0.1,,
"""11962""","Peppers, hot chile, sun-dried",37.0,"1.0 cup",40.0,,
"""11329""","Peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids",73.0,"1.0 pepper",6.4,,
"""11670""","Peppers, hot chili, green, raw",45.0,"1.0 pepper",6.4,,
"""11820""","Peppers, hot chili, red, canned, excluding seeds, solids and liquids",73.0,"1.0 pepper",6.4,,
"""11819""","Peppers, hot chili, red, raw",45.0,"1.0 pepper",6.3,,
"""11981""","Peppers, hungarian, raw",27.0,"1.0 pepper",2.7,,
"""11632""","Peppers, jalapeno, canned, solids and liquids",136.0,"1.0 cup, chopped",17.5,,
"""11979""","Peppers, jalapeno, raw",90.0,"1.0 cup, sliced",16.6,,
"""11977""","Peppers, serrano, raw",105.0,"1.0 cup, chopped",12.4,,
"""11822""","Peppers, sweet, green, cooked, boiled, drained, with salt",11.6,"1.0 tbsp",1.1,,
"""11334""","Peppers, sweet, green, cooked, boiled, drained, without salt",135.0,"1.0 cup, chopped or strips",13.2,,
"""11634""","Peppers, sweet, green, freeze-dried",0.4,"1.0 tbsp",0.5,,
"""11333""","Peppers, sweet, green, raw",149.0,"1.0 cup, chopped",11.0,,
"""11339""","Peppers, sweet, green, sauteed",115.0,"1.0 cup chopped",24.5,,
"""11824""","Peppers, sweet, red, cooked, boiled, drained, with salt",12.0,"1.0 tbsp",0.6,,
"""11823""","Peppers, sweet, red, cooked, boiled, drained, without salt",135.0,"1.0 cup, strips",6.9,,
"""11931""","Peppers, sweet, red, freeze-dried",0.4,"1.0 tbsp",0.5,,
"""11919""","Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",135.0,"1.0 cup, chopped or strips",4.6,,
"""11918""","Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",135.0,"1.0 cup, chopped or strips",4.6,,
"""11917""","Peppers, sweet, red, frozen, chopped, unprepared",95.0,"0.33 package (10 oz)",3.6,,
"""11821""","Peppers, sweet, red, raw",149.0,"1.0 cup, chopped",7.3,,
"""11921""","Peppers, sweet, red, sauteed",106.0,"1.0 cup chopped",17.4,,
"""09263""","Persimmons, japanese, raw",168.0,"1.0 fruit (2-1/2"" dia)",4.4,,
"""43283""","Pheasant, cooked, total edible",140.0,"1.0 cup, chopped or diced",6.9,,
"""18338""","Phyllo dough",28.35,"1.0 oz",0.7,,
"""07058""","Pickle and pimiento loaf, pork",38.0,"1.0 slice",1.9,,
"""11945""","Pickle relish, sweet",15.0,"1.0 tbsp",12.6,,
"""11983""","Pickles, chowchow, with cauliflower onion mustard, sweet",245.0,"1.0 cup",150.9,,
"""11937""","Pickles, cucumber, dill or kosher dill",35.0,"1.0 spear, small",6.1,,
"""11947""","Pickles, cucumber, dill, reduced sodium",35.0,"1.0 spear, small",6.1,,
"""11941""","Pickles, cucumber, sour",155.0,"1.0 cup",72.8,,
"""11946""","Pickles, cucumber, sour, low sodium",143.0,"1.0 cup, chopped or diced",67.2,,
"""11940""","Pickles, cucumber, sweet (includes bread and butter pickles)",160.0,"1.0 cup, chopped",75.4,,
"""11948""","Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",6.0,"1.0 slice",4.6,,
"""18943""","Pie Crust, Cookie-type, Chocolate, Ready Crust",182.0,"1.0 crust",33.1,,
"""18942""","Pie Crust, Cookie-type, Graham Cracker, Ready Crust",28.35,"1.0 oz",6.2,,
"""18399""","Pie crust, cookie-type, prepared from recipe, graham cracker, chilled",30.0,"1.0 piece (1/8 of 9"" crust)",7.3,,
"""18401""","Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled",129.0,"1.0 cup",43.9,,
"""18947""","Pie crust, deep dish, frozen, baked, made with enriched flour",202.0,"1.0 pie crust (average weight)",33.7,,
"""18945""","Pie crust, deep dish, frozen, unbaked, made with enriched flour",225.0,"1.0 pie crust (average weight)",33.8,,
"""18946""","Pie crust, refrigerated, regular, baked",198.0,"1.0 pie crust",0.8,,
"""18948""","Pie crust, refrigerated, regular, unbaked",229.0,"1.0 pie crust (average weight)",0.0,,
"""18334""","Pie crust, standard-type, frozen, ready-to-bake, enriched",18.0,"1.0 piece (1/8 of 9"" crust)",1.0,,
"""18335""","Pie crust, standard-type, frozen, ready-to-bake, enriched, baked",154.0,"1.0 pie crust (average weight of 1 baked crust)",12.0,,
"""18336""","Pie crust, standard-type, prepared from recipe, baked",23.0,"1.0 piece (1/8 of 9"" crust)",3.4,,
"""18402""","Pie crust, standard-type, prepared from recipe, unbaked",24.0,"1.0 piece (1/8 of 9"" crust)",3.2,,
"""19312""","Pie fillings, apple, canned",74.0,"0.125 can",0.4,,
"""44158""","Pie fillings, blueberry, canned",151.0,"1.0 serving",5.9,,
"""43098""","Pie fillings, cherry, low calorie",85.0,"1.0 serving",0.0,,
"""18301""","Pie, apple, commercially prepared, enriched flour",28.35,"1.0 oz",1.0,,
"""18304""","Pie, banana cream, prepared from recipe",28.35,"1.0 oz",1.8,,
"""18305""","Pie, blueberry, commercially prepared",28.35,"1.0 oz",3.0,,
"""18308""","Pie, cherry, commercially prepared",28.35,"1.0 oz",2.2,,
"""18310""","Pie, chocolate creme, commercially prepared",120.0,"1.0 serving .167 pie",11.4,,
"""18313""","Pie, coconut creme, commercially prepared",28.35,"1.0 oz",1.5,,
"""18944""","Pie, Dutch Apple, Commercially Prepared",131.0,"0.125 pie 1 pie (1/8 of 9"" pie)",21.5,,
"""18317""","Pie, egg custard, commercially prepared",28.35,"1.0 oz",0.9,,
"""18319""","Pie, fried pies, fruit",28.35,"1.0 oz",1.2,,
"""18320""","Pie, lemon meringue, commercially prepared",28.35,"1.0 oz",0.6,,
"""18322""","Pie, mince, prepared from recipe",28.35,"1.0 oz",1.5,,
"""18323""","Pie, peach",28.35,"1.0 oz",0.9,,
"""18324""","Pie, pecan, commercially prepared",28.35,"1.0 oz",4.4,,
"""18326""","Pie, pumpkin, commercially prepared",28.35,"1.0 oz",3.7,,
"""18328""","Pie, vanilla cream, prepared from recipe",28.35,"1.0 oz",1.9,,
"""11826""","Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",153.0,"1.0 cup",30.3,,
"""11345""","Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",153.0,"1.0 cup",30.3,,
"""11344""","Pigeonpeas, immature seeds, raw",154.0,"1.0 cup",37.0,,
"""35234""","Piki bread, made from blue cornmeal (Hopi)",28.0,"1.0 piece",0.1,,
"""11943""","Pimento, canned",12.0,"1.0 tbsp",1.0,,
"""14334""","Pineapple and grapefruit juice drink, canned",31.3,"1.0 fl oz",0.0,,
"""14341""","Pineapple and orange juice drink, canned",31.3,"1.0 fl oz",0.0,,
"""09409""","Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",250.0,"1.0 cup",0.8,,
"""09273""","Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",250.0,"1.0 cup",0.8,,
"""09275""","Pineapple juice, frozen concentrate, unsweetened, diluted with 3 volume water",250.0,"1.0 cup",0.8,,
"""09274""","Pineapple juice, frozen concentrate, unsweetened, undiluted",216.0,"1.0 can (6 fl oz)",2.2,,
"""09270""","Pineapple, canned, heavy syrup pack, solids and liquids",254.0,"1.0 cup, crushed, sliced, or chunks",0.8,,
"""09354""","Pineapple, canned, juice pack, drained",181.0,"1.0 cup, chunks",1.3,,
"""09268""","Pineapple, canned, juice pack, solids and liquids",249.0,"1.0 cup, crushed, sliced, or chunks",0.7,,
"""09269""","Pineapple, canned, light syrup pack, solids and liquids",252.0,"1.0 cup, crushed, sliced, or chunks",0.8,,
"""09267""","Pineapple, canned, water pack, solids and liquids",246.0,"1.0 cup, crushed, sliced, or chunks",0.7,,
"""09272""","Pineapple, frozen, chunks, sweetened",245.0,"1.0 cup, chunks",1.7,,
"""09266""","Pineapple, raw, all varieties",165.0,"1.0 cup, chunks",1.2,,
"""09430""","Pineapple, raw, extra sweet variety",165.0,"1.0 cup, chunks",1.2,,
"""09429""","Pineapple, raw, traditional varieties",165.0,"1.0 cup, chunks",1.2,,
"""21271""","PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust",96.0,"1.0 slice",9.7,,
"""21272""","PIZZA HUT 12"" Cheese Pizza, Pan Crust",100.0,"1.0 slice",15.5,,
"""21273""","PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust",69.0,"1.0 slice",5.7,,
"""21274""","PIZZA HUT 12"" Pepperoni Pizza, Hand-Tossed Crust",96.0,"1.0 slice",8.2,,
"""21275""","PIZZA HUT 12"" Pepperoni Pizza, Pan Crust",96.0,"1.0 slice",18.5,,
"""21276""","PIZZA HUT 12"" Super Supreme Pizza, Hand-Tossed Crust",127.0,"1.0 slice",9.3,,
"""21293""","PIZZA HUT 14"" Cheese Pizza, Hand-Tossed Crust",105.0,"1.0 slice",8.1,,
"""21294""","PIZZA HUT 14"" Cheese Pizza, Pan Crust",112.0,"1.0 slice",19.0,,
"""21295""","PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",79.0,"1.0 slice",6.1,,
"""21296""","PIZZA HUT 14"" Pepperoni Pizza, Hand-Tossed Crust",110.0,"1.0 slice",9.4,,
"""21297""","PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",113.0,"1.0 slice",24.3,,
"""21298""","PIZZA HUT 14"" Super Supreme Pizza, Hand-Tossed Crust",123.0,"1.0 slice",10.0,,
"""32012""","Pizza rolls, frozen, unprepared",80.0,"1.0 serving 6 rolls",3.7,,
"""21224""","Pizza, cheese topping, regular crust, frozen, cooked",81.0,"1.0 serving 9 servings per 24 oz package",5.3,,
"""21225""","Pizza, cheese topping, rising crust, frozen, cooked",139.0,"1.0 serving 6 servings per 29.25 oz package",10.4,,
"""21505""","Pizza, cheese topping, thin crust, frozen, cooked",69.0,"1.0 slice",2.9,,
"""21226""","Pizza, meat and vegetable topping, regular crust, frozen, cooked",143.0,"1.0 serving 5 servings per 24.2 oz package",11.7,,
"""21227""","Pizza, meat and vegetable topping, rising crust, frozen, cooked",170.0,"1.0 serving 6 servings per 34.98 oz package",11.4,,
"""09278""","Plantains, cooked",200.0,"1.0 cup, mashed",1.4,,
"""09277""","Plantains, raw",148.0,"1.0 cup, sliced",1.0,,
"""09447""","Plantains, yellow, fried, Latino restaurant",169.0,"1.0 cup",53.7,,
"""09379""","Plums, canned, heavy syrup, drained",183.0,"1.0 cup, with pits, yields",11.7,,
"""09284""","Plums, canned, purple, heavy syrup pack, solids and liquids",258.0,"1.0 cup, pitted",11.1,,
"""09282""","Plums, canned, purple, juice pack, solids and liquids",252.0,"1.0 cup, pitted",10.8,,
"""09283""","Plums, canned, purple, light syrup pack, solids and liquids",252.0,"1.0 cup, pitted",10.8,,
"""09281""","Plums, canned, purple, water pack, solids and liquids",249.0,"1.0 cup, pitted",10.7,,
"""09292""","Plums, dried (prunes), stewed, without added sugar",248.0,"1.0 cup, pitted",64.7,,
"""09291""","Plums, dried (prunes), uncooked",174.0,"1.0 cup, pitted",103.5,,
"""09279""","Plums, raw",165.0,"1.0 cup, sliced",10.6,,
"""35206""","Plums, wild (Northern Plains Indians)",161.0,"1.0 cup",18.0,,
"""11349""","Poi",240.0,"1.0 cup",2.4,,
"""11827""","Pokeberry shoots, (poke), cooked, boiled, drained, with salt",165.0,"1.0 cup",178.2,,
"""11351""","Pokeberry shoots, (poke), cooked, boiled, drained, without salt",165.0,"1.0 cup",178.2,,
"""09442""","Pomegranate juice, bottled",249.0,"1.0 cup",25.9,,
"""09286""","Pomegranates, raw",87.0,"0.5 cup arils (seed/juice sacs)",14.3,,
"""43572""","Popcorn, microwave, low fat and sodium",28.35,"1.0 oz",4.5,,
"""25026""","Popcorn, microwave, regular (butter) flavor, made with palm oil",7.9,"1.0 cup",0.3,,
"""19436""","Popcorn, sugar syrup/caramel, fat-free",28.35,"1.0 oz",0.3,,
"""07065""","Pork and beef sausage, fresh, cooked",13.0,"1.0 link (raw dimensions: 4"" long x 7/8"" dia), cooked",0.2,,
"""07957""","Pork and turkey sausage, pre-cooked",57.0,"1.0 serving",3.2,,
"""10981""","Pork loin, fresh, backribs, bone-in, cooked-roasted, lean only",85.0,"3.0 oz",0.0,,
"""10980""","Pork loin, fresh, backribs, bone-in, raw, lean only",1071.0,"1.0 ribs",0.0,,
"""42190""","Pork sausage rice links, brown and serve, cooked",45.0,"2.0 links 1 NLEA serving",1.5,,
"""07064""","Pork sausage, link/patty, cooked, pan-fried",27.0,"1.0 patty",0.0,,
"""07953""","Pork sausage, link/patty, fully cooked, microwaved",30.0,"1.0 patty",0.0,,
"""07967""","Pork sausage, link/patty, fully cooked, unheated",23.0,"1.0 link",0.0,,
"""07966""","Pork sausage, link/patty, reduced fat, cooked, pan-fried",85.0,"1.0 oz",0.0,,
"""07965""","Pork sausage, link/patty, reduced fat, unprepared",85.0,"3.0 oz",0.0,,
"""07063""","Pork sausage, link/patty, unprepared",25.0,"1.0 link",0.0,,
"""10864""","Pork, bacon, rendered fat, cooked",85.0,"3.0 oz",0.0,,
"""10860""","Pork, cured, bacon, cooked, baked",8.1,"1.0 slice cooked",0.0,,
"""43378""","Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",8.0,"1.0 slice cooked",0.0,,
"""10862""","Pork, cured, bacon, pre-sliced, cooked, pan-fried",11.5,"1.0 slice",0.0,,
"""10123""","Pork, cured, bacon, unprepared",28.0,"1.0 slice raw",0.0,,
"""10129""","Pork, cured, breakfast strips, cooked",85.0,"3.0 oz",0.0,,
"""10131""","Pork, cured, canadian-style bacon, grilled",139.0,"1.0 package (6 oz) yields",0.0,,
"""10132""","Pork, cured, feet, pickled",28.35,"1.0 oz",0.0,,
"""10913""","Pork, cured, ham -- water added, rump, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10912""","Pork, cured, ham -- water added, rump, bone-in, separable lean and fat, unheated",28.35,"1.0 oz",0.0,,
"""10865""","Pork, cured, ham -- water added, rump, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10866""","Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10914""","Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10911""","Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, unheated",28.35,"1.0 oz",0.0,,
"""10867""","Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10885""","Pork, cured, ham -- water added, shank, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10915""","Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10910""","Pork, cured, ham -- water added, slice, bone-in, separable lean and fat, unheated",28.35,"1.0 oz",0.0,,
"""10868""","Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10886""","Pork, cured, ham -- water added, slice, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10916""","Pork, cured, ham -- water added, slice, boneless, separable lean and fat, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10878""","Pork, cured, ham -- water added, slice, boneless, separable lean only, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10917""","Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10909""","Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated",28.35,"1.0 oz whole",0.0,,
"""10879""","Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",85.0,"3.0 oz",0.0,,
"""10880""","Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10918""","Pork, cured, ham and water product, rump, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10908""","Pork, cured, ham and water product, rump, bone-in, separable lean and fat, unheated",28.35,"1.0 oz rump",0.0,,
"""10877""","Pork, cured, ham and water product, rump, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.1,,
"""10887""","Pork, cured, ham and water product, rump, bone-in, separable lean only, unheated",28.35,"1.0 oz",0.0,,
"""10919""","Pork, cured, ham and water product, shank, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10907""","Pork, cured, ham and water product, shank, bone-in, separable lean and fat, unheated",28.35,"1.0 oz shank",0.0,,
"""10881""","Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10889""","Pork, cured, ham and water product, shank, bone-in, unheated, separable lean only",85.0,"3.0 oz",0.0,,
"""10920""","Pork, cured, ham and water product, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10906""","Pork, cured, ham and water product, slice, bone-in, separable lean and fat, unheated",28.35,"1.0 oz",0.0,,
"""10869""","Pork, cured, ham and water product, slice, bone-in, separable lean only, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10888""","Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10921""","Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",136.0,"1.0 slice",0.0,,
"""10870""","Pork, cured, ham and water product, slice, boneless, separable lean only, heated, pan-broil",138.0,"1.0 slice",0.0,,
"""10922""","Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10905""","Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated",28.35,"1.0 oz whole",0.0,,
"""10871""","Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10872""","Pork, cured, ham and water product, whole, boneless, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10923""","Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10904""","Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, unheated",28.35,"1.0 oz rump",0.0,,
"""10873""","Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10890""","Pork, cured, ham with natural juices, rump, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10924""","Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10903""","Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, unheated",28.35,"1.0 oz shank",0.0,,
"""10874""","Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10891""","Pork, cured, ham with natural juices, shank, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10925""","Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10902""","Pork, cured, ham with natural juices, slice, bone-in, separable lean and fat, unheated",85.0,"3.0 oz",0.0,,
"""10875""","Pork, cured, ham with natural juices, slice, bone-in, separable lean only, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10892""","Pork, cured, ham with natural juices, slice, bone-in, separable lean only, unheated",85.0,"3.0 oz",0.0,,
"""10926""","Pork, cured, ham with natural juices, slice, boneless, separable lean and fat, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10882""","Pork, cured, ham with natural juices, slice, boneless, separable lean only, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10927""","Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",145.0,"1.0 slice",0.0,,
"""10901""","Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, unheated",28.35,"1.0 oz spiral slice",0.0,,
"""10893""","Pork, cured, ham with natural juices, spiral slice, boneless, separable lean only, unheated",28.35,"1.0 oz spiral slice",0.0,,
"""10876""","Pork, cured, ham with natural juices, spiral slice, meat only, boneless, separable lean only, heated, roasted",145.0,"1.0 slice",0.0,,
"""10928""","Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10900""","Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",28.35,"1.0 oz whole",0.0,,
"""10883""","Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10884""","Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated",28.35,"1.0 oz",0.0,,
"""10134""","Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",140.0,"1.0 cup",0.0,,
"""10183""","Pork, cured, ham, boneless, extra lean and regular, roasted",140.0,"1.0 cup",0.0,,
"""10182""","Pork, cured, ham, boneless, extra lean and regular, unheated",140.0,"1.0 cup",0.0,,
"""43327""","Pork, cured, ham, boneless, low sodium, extra lean (approximately 5% fat), roasted",28.35,"1.0 oz",0.0,,
"""43325""","Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",28.35,"1.0 oz, boneless",0.0,,
"""10136""","Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",140.0,"1.0 cup",0.0,,
"""10141""","Pork, cured, ham, center slice, country-style, separable lean only, raw",28.35,"1.0 oz",0.0,,
"""10137""","Pork, cured, ham, extra lean (approximately 4% fat), canned, unheated",140.0,"1.0 cup",0.0,,
"""10185""","Pork, cured, ham, extra lean and regular, canned, roasted",140.0,"1.0 cup",0.0,,
"""10184""","Pork, cured, ham, extra lean and regular, canned, unheated",140.0,"1.0 cup",0.0,,
"""43326""","Pork, cured, ham, low sodium, lean and fat, cooked",28.35,"1.0 oz, boneless",0.0,,
"""10929""","Pork, cured, ham, rump, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10955""","Pork, cured, ham, rump, bone-in, separable lean and fat, unheated",85.0,"3.0 oz",0.0,,
"""10931""","Pork, cured, ham, rump, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10932""","Pork, cured, ham, rump, bone-in, separable lean only, unheated",28.35,"1.0 oz",0.0,,
"""10895""","Pork, cured, ham, separable fat, boneless, unheated",117.0,"4.0 oz",0.0,,
"""10935""","Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10936""","Pork, cured, ham, shank, bone-in, separable lean and fat, unheated",28.35,"1.0 oz",0.0,,
"""10933""","Pork, cured, ham, shank, bone-in, separable lean only, heated, roasted",85.0,"1.0 serving (3 oz)",0.0,,
"""10934""","Pork, cured, ham, shank, bone-in, separable lean only, unheated",28.35,"1.0 oz",0.0,,
"""10937""","Pork, cured, ham, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10939""","Pork, cured, ham, slice, bone-in, separable lean and fat, unheated",85.0,"1.0 serving (3 oz)",0.3,,
"""10899""","Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil",85.0,"1.0 serving (3 oz)",0.0,,
"""10938""","Pork, cured, ham, slice, bone-in, separable lean only, unheated",85.0,"1.0 serving (3 oz)",0.3,,
"""10150""","Pork, cured, ham, whole, separable lean and fat, unheated",140.0,"1.0 cup",0.0,,
"""10153""","Pork, cured, ham, whole, separable lean only, roasted",140.0,"1.0 cup",0.0,,
"""10152""","Pork, cured, ham, whole, separable lean only, unheated",140.0,"1.0 cup",0.0,,
"""10165""","Pork, cured, salt pork, raw",28.35,"1.0 oz",0.0,,
"""10166""","Pork, cured, separable fat (from ham and arm picnic), unheated",28.35,"1.0 oz",0.0,,
"""10168""","Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",140.0,"1.0 cup",0.0,,
"""10169""","Pork, cured, shoulder, arm picnic, separable lean only, roasted",140.0,"1.0 cup",0.0,,
"""10004""","Pork, fresh, backfat, raw",28.35,"1.0 oz",0.0,,
